Player,Team,Jersey,Nation,Main_Position,Positions,Age,Minutes,Goals,Assists,Penalty_Shoot_on_Goal,Penalty_Shoot,Total_Shoot,Shoot_on_Target,Yellow_Cards,Red_Cards,Touches,Dribbles,Tackles,Blocks,Expected_Goals_xG,Non_Penalty_xG_npxG,Expected_Assists_xAG,Shot_Creating_Actions,Goal_Creating_Actions,Passes_Completed,Passes_Attempted,Pass_Completion,Progressive_Passes,Carries,Progressive_Carries,Dribble_Attempts,Successful_Dribbles
Mohamed Salah,Liverpool,11,EGY,RW,RW,32,90,1,1,1,1,1,0,0,0,38,1,1,0,0.8,0,0.7,4,2,17,31,54,3,31,1,4,3
Dominik Szoboszlai,Liverpool,8,HUN,AM,AM,23,90,0,0,0,0,1,1,1,0,47,0,1,3,0.2,0.2,0,1,1,31,38,81,5,20,3,0,0
Curtis Jones,Liverpool,17,ENG,DM,DM,23,80,1,0,0,0,2,2,0,0,51,3,1,1,0.8,0.8,0,3,1,37,42,88,3,33,1,2,1
Alexis Mac Allister,Liverpool,10,ARG,DM,DM,25,10,0,0,0,0,0,0,1,0,11,2,0,0,0,0,0,1,0,8,10,80,1,6,0,0,0
Ryan Gravenberch,Liverpool,38,NED,DM,DM,22,90,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,2,0,34,39,87,2,25,1,0,0
Andrew Robertson,Liverpool,26,SCO,LB,LB,30,90,0,0,0,0,0,0,0,0,62,3,0,1,0,0,0,1,0,47,55,85,4,27,0,0,0
Virgil van Dijk,Liverpool,4,NED,CB,CB,33,90,0,0,0,0,1,0,0,0,70,1,1,0,0,0,0,0,0,54,63,85,4,36,0,0,0
Ibrahima Konaté,Liverpool,5,FRA,CB,CB,25,90,0,0,0,0,0,0,1,0,46,1,0,1,0,0,0,0,0,36,40,90,2,23,0,0,0
Trent Alexander-Arnold,Liverpool,66,ENG,RB,RB,26,80,0,0,0,0,0,0,0,0,44,4,1,2,0,0,0,0,0,24,35,68,0,13,0,1,0
Joe Gomez,Liverpool,2,ENG,RB,RB,27,10,0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,2,7,28,0,3,0,0,0
Caoimhín Kelleher,Liverpool,62,IRL,GK,GK,25,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,28,44,63,0,33,0,0,0
Nicolas Jackson,Chelsea,15,SEN,FW,FW,23,90,1,0,0,0,2,1,1,0,18,0,0,1,0.3,0.3,0,0,0,7,11,63,2,7,1,2,1
Jadon Sancho,Chelsea,19,ENG,LW,LW,24,45,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,19,22,86,3,17,3,3,0
Pedro Neto,Chelsea,7,POR,LW,"LW,RW",24,45,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0.2,5,0,20,25,80,1,21,2,2,0
Noni Madueke,Chelsea,11,ENG,RW,RW,22,75,0,0,0,0,1,1,0,0,33,1,0,0,0,0,0.1,1,0,23,25,92,0,28,8,5,2
Christopher Nkunku,Chelsea,18,FRA,LW,LW,26,15,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,7,7,100,1,9,0,2,0
Cole Palmer,Chelsea,20,ENG,AM,AM,22,90,0,0,0,0,4,0,0,0,42,0,0,1,0.4,0.4,0.1,4,0,25,30,83,3,26,2,5,1
Roméo Lavia,Chelsea,45,BEL,DM,DM,20,52,0,0,0,0,0,0,0,0,30,2,2,2,0,0,0,0,0,21,22,95,0,18,1,3,3
Enzo Fernández,Chelsea,8,ARG,DM,DM,23,38,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,1,0,18,22,81,3,13,1,0,0
Moisés Caicedo,Chelsea,25,ECU,DM,DM,22,90,0,1,0,0,0,0,0,0,57,1,0,0,0,0,0.3,3,1,43,53,81,10,38,2,1,1
Malo Gusto,Chelsea,27,FRA,LB,"LB,RB",21,90,0,0,0,0,2,0,0,0,78,3,4,2,0.1,0.1,0,1,1,58,65,89,8,44,3,3,1
Levi Colwill,Chelsea,6,ENG,CB,CB,21,90,0,0,0,0,0,0,0,0,89,2,0,0,0,0,0,1,0,71,81,87,5,51,0,1,1
Tosin Adarabioyo,Chelsea,4,ENG,CB,CB,27,52,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,43,46,93,0,30,0,0,0
Benoît Badiashile,Chelsea,5,FRA,CB,CB,23,38,0,0,0,0,0,0,0,0,47,1,1,0,0,0,0,0,0,42,43,97,3,26,1,0,0
Reece James,Chelsea,24,ENG,RB,RB,24,52,0,0,0,0,0,0,0,0,60,1,1,0,0,0,0,2,0,45,55,81,2,32,0,0,0
Renato Veiga,Chelsea,40,POR,LB,LB,21,38,0,0,0,0,1,0,1,0,36,0,0,0,0.1,0.1,0,0,0,22,30,73,2,17,0,2,0
Robert Sánchez,Chelsea,1,ESP,GK,GK,26,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,35,42,83,0,25,0,0,0
Chris Wood,Nottingham Forest,11,NZL,FW,FW,32,83,1,0,0,0,4,2,0,0,22,0,0,0,0.9,0.9,0.1,1,0,8,14,57,0,8,0,0,0
Taiwo Awoniyi,Nottingham Forest,9,NGA,FW,FW,27,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,75,0,3,1,1,0
Callum Hudson-Odoi,Nottingham Forest,14,ENG,LW,LW,23,83,0,0,0,0,2,0,0,0,38,0,0,0,0.1,0.1,0.1,5,0,29,33,87,1,17,4,3,2
Ramón Sosa,Nottingham Forest,24,PAR,LW,LW,25,7,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,4,5,80,0,4,0,1,1
Anthony Elanga,Nottingham Forest,21,SWE,RW,RW,22,62,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.1,4,0,19,29,65,1,17,1,2,0
Jota Silva,Nottingham Forest,20,POR,RW,RW,25,28,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0,0,0,1,5,20,0,7,1,3,1
Elliot Anderson,Nottingham Forest,8,ENG,AM,AM,21,77,0,0,0,0,4,2,1,0,59,1,0,2,0.3,0.3,0.9,11,0,39,43,90,4,26,4,6,6
Neco Williams,Nottingham Forest,7,WAL,LM,LM,23,13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,10,13,76,1,9,1,1,1
Nicolás Domínguez,Nottingham Forest,16,ARG,DM,"DM,CM",26,90,0,0,0,0,2,1,1,0,75,2,2,5,0.1,0.1,0,1,0,56,62,90,7,30,4,0,0
Ryan Yates,Nottingham Forest,22,ENG,DM,"DM,CM",26,90,0,0,0,0,4,0,0,0,55,1,5,0,0.3,0.3,0.2,6,0,26,34,76,2,26,0,0,0
Álex Moreno,Nottingham Forest,19,ESP,LB,LB,31,77,0,0,0,0,2,0,0,0,62,2,0,4,0,0,0.1,3,1,38,51,74,8,32,4,2,1
Morato,Nottingham Forest,4,BRA,CB,CB,23,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,5,8,62,0,4,0,0,0
Murillo,Nottingham Forest,5,BRA,CB,CB,22,90,0,0,0,0,1,1,0,0,77,0,2,0,0,0,0,1,1,56,66,84,4,37,0,4,4
Nikola Milenković,Nottingham Forest,31,SRB,CB,CB,27,90,0,0,0,0,0,0,0,0,52,0,2,2,0,0,0,0,0,35,44,79,2,18,0,0,0
Ola Aina,Nottingham Forest,34,NGA,RB,"RB,RM",28,90,0,0,0,0,0,0,0,0,63,2,2,2,0,0,0,2,0,38,51,74,8,30,5,4,0
Matz Sels,Nottingham Forest,26,BEL,GK,GK,32,90,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,24,31,77,0,22,0,0,0
Eddie Nketiah,Crystal Palace,9,ENG,FW,FW,25,65,0,0,0,0,4,2,0,0,26,1,0,0,0.2,0.2,0.3,7,0,8,16,50,1,10,5,2,2
Jean-Philippe Mateta,Crystal Palace,14,FRA,FW,FW,27,25,0,0,0,0,2,1,0,0,6,0,0,1,0.1,0.1,0,0,0,1,2,50,0,1,0,0,0
Eberechi Eze,Crystal Palace,10,ENG,FW,"FW,AM",26,90,0,0,0,0,6,2,0,0,60,2,0,0,0.3,0.3,0.1,4,0,32,48,66,2,29,4,5,4
Tyrick Mitchell,Crystal Palace,3,ENG,LW,LW,25,73,0,0,0,0,0,0,0,0,42,3,0,4,0,0,0,0,0,22,33,66,1,13,1,0,0
Jeffrey Schlupp,Crystal Palace,15,GHA,WB,WB,31,17,0,0,0,0,1,1,0,0,19,2,0,1,0,0,0,2,0,9,11,81,2,8,0,0,0
Daniel Muñoz,Crystal Palace,12,COL,RW,"RW,WB",28,90,0,0,0,0,0,0,1,0,66,4,1,1,0,0,0.2,4,0,35,49,71,2,30,2,0,0
Daichi Kamada,Crystal Palace,18,JPN,CM,CM,28,87,0,0,0,0,2,1,1,0,42,3,0,1,0.2,0.2,0.1,2,0,29,34,85,6,20,1,0,0
Asher Agbinone,Crystal Palace,64,ENG,CM,CM,19,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,2,50,0,2,2,1,0
Will Hughes,Crystal Palace,19,ENG,CM,CM,29,73,0,0,0,0,1,0,0,0,39,3,1,4,0.1,0.1,0.1,5,0,22,30,73,5,15,0,0,0
Ismaila Sarr,Crystal Palace,7,SEN,AM,AM,26,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,4,6,66,1,2,1,0,0
Jefferson Lerma,Crystal Palace,8,COL,DM,"DM,CM",29,90,0,0,0,0,1,0,1,0,67,0,1,4,0,0,0.1,0,0,45,58,77,6,25,0,0,0
Marc Guéhi,Crystal Palace,6,ENG,CB,CB,24,90,0,0,0,0,0,0,0,0,83,3,1,0,0,0,0,1,0,60,72,83,10,47,2,0,0
Maxence Lacroix,Crystal Palace,5,FRA,CB,CB,24,90,0,0,0,0,0,0,0,0,64,0,1,2,0,0,0,1,0,47,53,88,2,39,0,0,0
Trevoh Chalobah,Crystal Palace,27,ENG,CB,CB,25,90,0,0,0,0,2,0,0,0,60,2,0,4,0.1,0.1,0,2,0,40,46,87,4,26,0,1,0
Dean Henderson,Crystal Palace,1,ENG,GK,GK,27,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,20,22,90,0,12,0,0,0
Jamie Vardy,Leicester City,9,ENG,FW,FW,37,90,1,0,0,0,2,1,0,0,25,0,0,0,0.5,0.5,0.1,3,0,12,19,63,0,15,0,0,0
Stephy Mavididi,Leicester City,10,ENG,LW,LW,26,67,0,0,0,0,2,0,1,0,40,0,0,0,0,0,0,3,1,21,31,67,2,32,6,2,0
Jordan Ayew,Leicester City,18,GHA,LW,LW,33,23,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,1,0,10,12,83,0,12,0,0,0
Abdul Fatawu Issahaku,Leicester City,7,GHA,RW,"RW,RM",20,90,0,0,0,0,1,0,0,0,66,1,0,1,0,0,0,2,0,29,45,64,4,45,12,10,3
Facundo Buonanotte,Leicester City,40,ARG,AM,"AM,CM",19,90,0,0,0,0,4,0,0,0,79,2,2,4,0.1,0.1,0,3,0,45,51,88,5,44,7,5,2
Harry Winks,Leicester City,8,ENG,DM,"DM,LM",28,90,0,1,0,0,1,0,1,0,87,0,0,2,0,0,0.5,3,1,69,81,85,8,70,2,0,0
Wilfred Ndidi,Leicester City,6,NGA,DM,"DM,CM",27,73,0,0,0,0,1,0,0,0,45,1,0,2,0,0,0,0,0,29,35,82,3,27,2,0,0
Boubakary Soumaré,Leicester City,24,FRA,CM,CM,25,17,0,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,9,11,81,1,8,1,1,1
James Justin,Leicester City,2,ENG,LB,"LB,CB",26,90,0,0,0,0,0,0,0,0,95,3,1,0,0,0,0,3,0,71,84,84,10,61,2,1,0
Caleb Okoli,Leicester City,5,ITA,CB,CB,23,90,0,0,0,0,0,0,0,0,86,3,2,2,0,0,0,0,0,70,74,94,7,60,1,0,0
Wout Faes,Leicester City,3,BEL,CB,CB,26,90,0,0,0,0,0,0,0,0,81,1,0,2,0,0,0,0,0,68,75,90,8,64,0,0,0
Ricardo Pereira,Leicester City,21,POR,RB,RB,31,67,0,0,0,0,0,0,1,0,54,2,1,1,0,0,0,0,0,43,48,89,3,33,0,0,0
Bilal El Khannouss,Leicester City,11,MAR,RW,RW,20,23,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,13,84,4,15,2,1,0
Mads Hermansen,Leicester City,30,DEN,GK,GK,24,90,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,31,36,86,0,25,0,0,0
Chris Wood,Nottingham Forest,11,NZL,FW,FW,32,80,2,0,0,0,3,2,0,0,22,0,0,0,0.3,0.3,0.1,1,0,10,14,71,1,13,1,0,0
Taiwo Awoniyi,Nottingham Forest,9,NGA,FW,FW,27,10,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0,0,0,3,4,75,0,4,0,0,0
Callum Hudson-Odoi,Nottingham Forest,14,ENG,LW,"LW,LM",23,75,0,0,0,0,2,1,0,0,38,3,1,0,0.1,0.1,0,6,1,23,28,82,2,27,5,8,6
Ramón Sosa,Nottingham Forest,24,PAR,LM,LM,25,15,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0.1,2,0,5,10,50,2,7,2,2,1
Anthony Elanga,Nottingham Forest,21,SWE,RW,"RW,RM",22,75,0,0,0,0,1,0,0,0,30,0,0,1,0,0,0,3,0,8,24,33,2,14,4,2,0
Jota Silva,Nottingham Forest,20,POR,RM,RM,25,15,0,0,0,0,1,0,0,0,7,1,1,0,0,0,0,1,0,1,3,33,0,5,2,1,0
Elliot Anderson,Nottingham Forest,8,ENG,AM,AM,21,71,0,1,0,0,5,0,0,0,45,1,0,2,0.2,0.2,0.1,4,2,26,34,76,5,23,3,3,3
Neco Williams,Nottingham Forest,7,WAL,LB,LB,23,19,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,0,0,4,6,66,0,3,0,0,0
Nicolás Domínguez,Nottingham Forest,16,ARG,DM,"DM,CM",26,90,0,0,0,0,1,1,1,0,52,2,3,2,0.3,0.3,0,2,0,38,41,92,4,18,0,0,0
Ryan Yates,Nottingham Forest,22,ENG,DM,"DM,CM",26,90,1,0,0,0,2,1,0,0,48,2,1,1,0.4,0.4,0,1,0,27,33,81,1,17,0,0,0
Álex Moreno,Nottingham Forest,19,ESP,LB,LB,31,71,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0.1,1,0,21,26,80,6,11,1,1,0
Morato,Nottingham Forest,4,BRA,CB,CB,23,19,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,1,0,2,4,50,1,2,0,1,1
Murillo,Nottingham Forest,5,BRA,CB,CB,22,90,0,0,0,0,2,0,0,0,42,2,0,3,0.2,0.2,0.4,4,0,25,30,83,3,12,0,1,0
Nikola Milenković,Nottingham Forest,31,SRB,CB,CB,27,90,0,0,0,0,1,0,1,0,26,2,2,0,0.1,0.1,0,2,1,12,17,70,1,7,0,1,1
Ola Aina,Nottingham Forest,34,NGA,RB,RB,28,90,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,1,0,21,38,55,3,25,1,4,3
Matz Sels,Nottingham Forest,26,BEL,GK,GK,32,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,14,26,53,0,12,0,0,0
Yoane Wissa,Brentford,11,COD,FW,FW,28,90,1,0,0,0,4,3,0,0,27,1,1,0,1.4,1.4,0,1,0,13,15,86,2,13,2,0,0
Keane Lewis-Potter,Brentford,23,ENG,LW,LW,23,80,0,0,0,0,2,0,0,0,28,2,0,0,0.3,0.3,0.2,5,2,17,19,89,3,23,5,7,3
Fabio Carvalho,Brentford,14,POR,LW,LW,22,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,50,0,2,0,1,0
Bryan Mbeumo,Brentford,19,CMR,RW,RW,25,90,2,0,1,1,3,2,0,0,55,0,0,0,0.9,0.1,0.3,4,0,31,47,66,10,40,1,2,1
Mikkel Damsgaard,Brentford,24,DEN,AM,AM,24,76,0,0,0,0,2,1,0,0,43,0,0,1,0.3,0.3,0.7,6,0,27,35,77,8,28,2,0,0
Kevin Schade,Brentford,7,GER,AM,AM,22,14,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0,0,0,0,3,0,0,3,0,1,1
Vitaly Janelt,Brentford,27,GER,DM,DM,26,90,0,1,0,0,0,0,0,0,61,2,1,3,0,0,0.5,4,1,37,48,77,3,34,1,2,0
Christian Nørgaard,Brentford,6,DEN,DM,DM,30,77,0,0,0,0,3,0,0,0,50,1,1,0,0.3,0.3,0,1,0,28,35,80,2,25,0,1,0
Mathias Jensen,Brentford,8,DEN,DM,DM,28,13,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,3,0,25,28,89,9,23,3,1,0
Sepp van den Berg,Brentford,4,NED,LB,LB,22,90,0,0,0,0,2,2,0,0,65,0,1,0,0.2,0.2,0,2,0,41,55,74,2,29,0,0,0
Ethan Pinnock,Brentford,5,JAM,CB,CB,31,90,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0.4,3,0,88,103,85,3,63,0,0,0
Nathan Collins,Brentford,22,IRL,CB,CB,23,90,0,0,0,0,2,0,0,0,103,1,0,2,0.5,0.5,0,3,2,83,92,90,13,61,2,1,0
Mads Roerslev,Brentford,30,DEN,RB,RB,25,90,0,1,0,0,0,0,0,0,79,1,0,0,0,0,1.1,6,1,63,75,84,9,48,3,0,0
Mark Flekken,Brentford,1,NED,GK,GK,31,90,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,44,53,83,0,36,0,0,0
George Hirst,Ipswich Town,27,ENG,FW,FW,25,72,1,1,0,0,1,1,0,0,24,0,0,0,0.3,0.3,0.2,3,1,9,15,60,4,15,2,1,0
Liam Delap,Ipswich Town,19,ENG,FW,FW,21,18,1,0,0,0,2,1,0,0,6,0,0,0,0.2,0.2,0,0,0,0,1,0,0,4,1,0,0
Sammie Szmodics,Ipswich Town,23,IRL,LW,LW,29,72,1,0,0,0,3,2,0,0,24,1,0,2,0.6,0.6,0,1,0,11,14,78,2,13,1,0,0
Jack Clarke,Ipswich Town,47,ENG,LM,"LM,CM",23,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,6,66,0,5,0,1,1
Chiedozie Ogbene,Ipswich Town,21,IRL,RW,RW,27,34,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,5,80,0,5,1,1,0
Wes Burns,Ipswich Town,7,WAL,RW,"RW,RM,RB",29,56,0,0,0,0,1,0,0,0,23,3,2,0,0.1,0.1,0,0,0,8,13,61,0,14,4,1,0
Conor Chaplin,Ipswich Town,10,ENG,AM,AM,27,72,0,1,0,0,0,0,0,0,30,1,2,1,0,0,0.3,2,1,17,25,68,2,11,1,0,0
Luke Woolfenden,Ipswich Town,6,ENG,RB,"RB,CB",26,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,33,0,1,0,0,0
Jens Cajuste,Ipswich Town,12,SWE,DM,"DM,CM",25,89,0,0,0,0,0,0,0,0,44,1,2,4,0,0,0,1,0,23,35,65,1,20,1,0,0
Conor Townsend,Ipswich Town,22,ENG,CM,CM,31,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kalvin Phillips,Ipswich Town,8,ENG,DM,"DM,CM",28,90,0,0,0,0,0,0,0,0,53,2,1,2,0,0,0,2,1,30,43,69,4,19,1,2,2
Leif Davis,Ipswich Town,3,ENG,LB,LB,24,90,0,1,0,0,3,0,1,0,53,1,2,2,0.2,0.2,0.2,5,1,28,40,70,1,21,0,0,0
Cameron Burgess,Ipswich Town,15,AUS,CB,CB,29,90,0,0,0,0,1,1,0,0,54,1,2,1,0,0,0,2,1,34,38,89,4,16,0,0,0
Dara O'Shea,Ipswich Town,26,IRL,CB,CB,25,90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,16,28,57,1,16,0,0,0
Harry Clarke,Ipswich Town,2,ENG,RB,RB,23,68,0,0,0,0,0,0,2,1,37,2,1,1,0,0,0,0,0,19,27,70,4,10,0,0,0
Arijanet Muric,Ipswich Town,1,KVX,GK,GK,25,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,16,35,45,0,21,0,0,0
Danny Welbeck,Brighton & Hove Albion,18,ENG,FW,FW,33,72,1,0,0,0,4,1,0,0,28,0,0,1,0.6,0.6,0.1,1,0,8,14,57,1,17,1,3,0
Evan Ferguson,Brighton & Hove Albion,28,IRL,FW,FW,20,18,1,0,0,0,1,1,0,0,5,0,0,1,0.1,0.1,0,0,0,2,2,100,0,4,1,0,0
Georginio Rutter,Brighton & Hove Albion,14,FRA,FW,FW,22,79,0,1,0,0,4,0,1,0,39,1,1,0,0.2,0.2,0.5,6,1,18,24,75,7,19,2,6,2
Tariq Lamptey,Brighton & Hove Albion,2,GHA,RB,RB,24,11,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0.1,1,1,4,4,100,0,4,1,0,0
Kaoru Mitoma,Brighton & Hove Albion,22,JPN,LM,LM,27,88,0,0,0,0,4,1,0,0,46,0,1,3,0.2,0.2,0.1,3,0,26,31,83,3,27,4,7,3
Julio Enciso,Brighton & Hove Albion,10,PAR,LM,LM,20,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1
Yasin Ayari,Brighton & Hove Albion,26,SWE,CM,CM,21,90,0,0,0,0,1,0,0,0,50,4,0,0,0.1,0.1,0.2,4,0,25,35,71,2,20,2,1,1
Carlos Baleba,Brighton & Hove Albion,20,CMR,CM,CM,20,79,0,0,0,0,3,2,0,0,56,2,3,1,0.1,0.1,0.1,2,0,41,46,89,5,29,2,1,1
Mats Wieffer,Brighton & Hove Albion,27,NED,CM,CM,24,11,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,3,5,60,0,4,1,0,0
Ferdi Kadioglu,Brighton & Hove Albion,24,TUR,RM,RM,25,71,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,3,1,16,24,66,2,24,0,1,1
Brajan Gruda,Brighton & Hove Albion,8,GER,RM,RM,20,19,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,2,2,100,0,1,0,0,0
Pervis Estupiñán,Brighton & Hove Albion,30,ECU,LB,LB,26,90,0,0,0,0,1,1,1,0,85,3,2,2,0,0,0,3,0,57,70,81,7,37,3,0,0
Igor,Brighton & Hove Albion,3,BRA,CB,CB,26,90,0,0,0,0,0,0,1,0,89,0,0,3,0,0,0,0,0,72,78,92,5,62,2,2,2
Jan Paul van Hecke,Brighton & Hove Albion,29,NED,CB,CB,24,90,0,0,0,0,0,0,0,0,82,2,1,0,0,0,0,2,0,66,71,93,12,59,1,1,0
Joël Veltman,Brighton & Hove Albion,34,NED,RB,"RB,CB",32,90,0,0,0,0,1,0,0,0,57,1,1,1,0,0,0,2,0,40,49,81,6,27,1,0,0
Bart Verbruggen,Brighton & Hove Albion,1,NED,GK,GK,22,90,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,37,44,84,0,31,0,0,0
Jørgen Strand Larsen,Wolverhampton Wanderers,9,NOR,FW,FW,24,89,0,0,0,0,2,2,1,0,23,1,0,2,0.2,0.2,0,3,0,8,16,50,1,12,0,0,0
André,Wolverhampton Wanderers,7,BRA,CM,"CM,FW",23,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,100,0,1,0,0,0
Matheus Cunha,Wolverhampton Wanderers,10,BRA,FW,"FW,AM",25,90,1,0,0,0,5,2,0,0,44,1,0,2,0.2,0.2,0.6,6,0,20,31,64,3,25,7,6,3
João Gomes,Wolverhampton Wanderers,8,BRA,CM,"CM,AM",23,89,0,0,0,0,1,0,0,0,41,2,1,1,0,0,0.1,3,0,27,32,84,5,21,1,1,0
Gonçalo Guedes,Wolverhampton Wanderers,29,POR,CM,"CM,FW",27,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,2,50,0,0,0,0,0
Mario Lemina,Wolverhampton Wanderers,5,GAB,CM,CM,31,45,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,17,19,89,0,12,0,0,0
Pablo Sarabia,Wolverhampton Wanderers,21,ESP,RM,RM,32,45,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0.4,3,0,16,25,64,1,17,1,0,0
Tommy Doyle,Wolverhampton Wanderers,20,ENG,CM,CM,23,90,0,1,0,0,1,0,0,0,67,0,0,1,0.2,0.2,0.1,5,2,54,59,91,7,43,0,3,2
Rayan Aït-Nouri,Wolverhampton Wanderers,3,ALG,LB,"LB,WB",23,90,1,0,0,0,1,1,1,0,66,2,1,0,0.1,0.1,0,2,0,51,57,89,6,38,0,7,4
Nélson Semedo,Wolverhampton Wanderers,22,POR,RB,"RB,WB",30,90,0,0,0,0,1,1,0,0,55,6,1,2,0,0,0,1,0,26,33,78,2,16,3,3,1
Toti Gomes,Wolverhampton Wanderers,24,POR,CB,CB,25,45,0,0,0,0,0,0,1,0,45,3,1,0,0,0,0,1,0,30,38,78,2,29,1,1,0
Carlos Forbs,Wolverhampton Wanderers,26,POR,LM,LM,20,44,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,11,17,64,1,13,3,3,2
Rodrigo Gomes,Wolverhampton Wanderers,19,POR,LM,LM,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Craig Dawson,Wolverhampton Wanderers,15,ENG,CB,CB,34,90,0,0,0,0,2,0,0,0,84,2,2,4,0.3,0.3,0,2,1,64,69,92,2,51,0,0,0
Santiago Bueno,Wolverhampton Wanderers,4,URU,CB,CB,25,90,0,0,0,0,1,1,0,0,61,1,3,3,0.2,0.2,0,0,0,44,52,84,2,37,0,0,0
José Sá,Wolverhampton Wanderers,1,POR,GK,GK,31,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,18,29,62,0,18,0,0,0
Erling Haaland,Manchester City,9,NOR,FW,FW,24,90,1,0,0,0,8,3,0,0,16,0,0,0,2.3,2.3,0,0,0,5,6,83,0,10,1,0,0
Matheus Nunes,Manchester City,27,POR,LM,LM,26,85,0,1,0,0,2,0,0,0,75,1,1,0,0.1,0.1,0.4,5,1,58,67,86,10,54,5,2,1
İlkay Gündoğan,Manchester City,19,GER,CM,CM,34,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,3,3,100,0,1,0,0,0
Bernardo Silva,Manchester City,20,POR,CM,"CM,RM",30,90,0,0,0,0,0,0,0,0,56,1,2,0,0,0,0.1,4,1,45,53,84,7,40,5,1,1
Phil Foden,Manchester City,47,ENG,CM,CM,24,90,0,0,0,0,3,0,0,0,67,0,1,0,0.2,0.2,0.9,8,0,49,59,83,3,37,2,1,1
Sávio,Manchester City,26,BRA,RM,"RM,LM",20,90,0,0,0,0,2,1,0,0,66,0,1,1,0.1,0.1,1.2,10,0,46,56,82,5,53,13,8,6
Mateo Kovačić,Manchester City,8,CRO,DM,DM,30,90,0,0,0,0,3,1,1,0,74,6,2,2,0.2,0.2,0,2,0,56,62,90,5,44,3,0,0
Joško Gvardiol,Manchester City,24,CRO,LB,LB,22,90,0,0,0,0,2,0,0,0,117,1,2,2,0.1,0.1,0.2,3,0,99,106,93,15,87,4,0,0
Rúben Dias,Manchester City,3,POR,CB,CB,27,90,0,0,0,0,1,1,0,0,97,2,0,0,0,0,0,2,0,90,93,96,7,78,0,0,0
Manuel Akanji,Manchester City,25,SUI,CB,CB,29,90,0,0,0,0,1,1,0,0,92,0,1,1,0,0,0.1,3,0,80,87,92,4,75,5,0,0
